期別,開獎日,頭獎,獎金總額,獎號,特別號
110000001,110/01/01,0,"166,754,537","05,37,41,42,46,49",18
110000002,110/01/05,0,"196,698,733","08,13,17,20,43,48",38
110000003,110/01/08,0,"213,044,660","04,18,24,26,43,47",33
110000004,110/01/12,0,"242,884,092","01,10,20,28,37,44",33
110000005,110/01/15,0,"272,542,688","03,04,08,11,42,44",21
110000006,110/01/19,0,"300,557,371","15,29,31,33,41,47",37
110000007,110/01/22,0,"331,235,098","07,30,34,36,45,46",43
110000008,110/01/26,0,"369,316,708","08,20,23,37,43,46",44
110000009,110/01/29,0,"399,250,603","14,22,30,31,39,40",49
110000010,110/02/02,0,"439,835,913","14,34,35,38,43,47",40
110000011,110/02/05,0,"487,350,045","05,09,19,31,33,35",32
110000012,110/02/09,0,"602,724,776","01,03,06,12,27,43",02
110000013,110/02/10,"538,737,653","621,486,856","03,18,24,34,41,42",37
110000014,110/02/11,"100,000,000","203,080,144","07,17,18,26,41,47",39
110000015,110/02/12,"50,000,000","221,338,525","05,06,10,12,44,48",36
110000016,110/02/13,"100,000,000","200,352,714","13,30,37,40,43,46",05
110000017,110/02/14,"100,000,000","199,865,078","01,12,16,17,38,45",32
110000018,110/02/15,"100,000,000","204,023,720","04,08,10,18,33,40",02
110000019,110/02/16,0,"161,881,608","01,09,11,12,37,46",43
110000020,110/02/17,"107,719,342","182,698,810","02,13,24,26,45,49",10
110000021,110/02/18,0,"113,575,476","01,03,09,41,42,48",27
110000022,110/02/19,"50,000,000","167,357,327","02,28,31,36,40,45",24
110000023,110/02/20,0,"103,013,638","01,06,10,11,26,47",22
110000024,110/02/21,0,"127,466,198","09,18,25,27,32,39",40
110000025,110/02/23,"111,658,864","172,395,666","01,06,18,19,20,42",43
110000026,110/02/26,0,"95,098,612","04,13,22,23,39,42",26
110000027,110/03/02,"100,000,000","147,384,106","05,07,11,24,27,30",12
110000028,110/03/05,0,"65,740,788","06,08,14,29,38,48",35
110000029,110/03/09,0,"80,919,040","08,09,13,29,36,46",23
110000030,110/03/12,0,"102,332,517","08,21,26,30,33,46",45
110000031,110/03/16,0,"129,733,013","08,19,22,24,30,43",13
110000032,110/03/19,0,"149,398,888","07,19,28,35,38,48",08
110000033,110/03/23,"138,489,883","173,095,831","02,15,28,43,45,49",35
110000034,110/03/26,"100,000,000","133,640,079","15,21,24,30,37,38",34
110000035,110/03/30,0,"58,625,679","17,22,23,25,31,33",03
110000036,110/04/02,0,"75,547,749","17,21,25,30,40,42",26
110000037,110/04/06,0,"93,349,999","01,22,26,28,34,38",35
110000038,110/04/09,0,"117,091,160","06,09,18,25,29,35",46
110000039,110/04/13,0,"140,784,054","11,25,31,32,35,42",41
110000040,110/04/16,"127,674,004","168,432,754","07,10,16,21,33,46",02
110000041,110/04/20,"100,000,000","138,231,551","05,07,09,15,24,26",12
110000042,110/04/23,0,"52,956,310","18,20,23,32,37,46",39
110000043,110/04/27,0,"74,350,983","05,08,20,23,34,39",31
110000044,110/04/30,0,"95,276,229","04,14,22,42,46,47",21
110000045,110/05/04,0,"121,406,835","05,15,17,19,27,37",42
110000046,110/05/07,0,"143,812,746","12,22,26,35,36,49",32
110000047,110/05/11,0,"168,718,582","05,07,09,27,35,42",19
110000048,110/05/14,0,"186,709,819","02,13,14,30,43,48",17
110000049,110/05/18,0,"192,964,866","11,15,16,18,35,43",46
110000050,110/05/21,0,"212,833,211","02,04,25,26,27,29",41
110000051,110/05/25,0,"227,860,090","15,31,38,44,46,48",21
