期別,開獎日,頭獎,獎金總額,獎號,特別號
111000045,111/05/03,0,"216,788,247","14,16,18,19,21,23",03
111000046,111/05/06,0,"239,741,399","01,05,19,28,45,49",29
111000047,111/05/10,0,"263,566,664","02,11,20,24,32,48",27
111000048,111/05/13,0,"285,692,550","10,24,27,36,37,48",29
111000049,111/05/17,"281,506,513","326,941,681","09,22,28,29,34,37",36
111000050,111/05/20,0,"68,832,036","05,08,12,22,42,49",46
111000051,111/05/24,"100,000,000","137,761,483","04,19,24,35,45,46",02
111000052,111/05/27,0,"59,991,568","04,11,18,37,39,46",27
111000053,111/05/31,0,"90,052,701","10,11,17,25,27,28",31
111000054,111/06/03,"100,000,000","140,655,266","04,11,39,42,43,48",44
111000055,111/06/07,0,"62,564,499","04,17,18,19,31,44",46
111000056,111/06/10,0,"87,590,297","05,10,13,28,29,38",34
111000057,111/06/14,0,"110,128,172","03,09,20,28,29,47",35
111000058,111/06/17,0,"131,222,174","07,11,28,30,46,47",48
111000059,111/06/21,"123,274,688","156,652,656","03,14,20,34,41,44",43
111000060,111/06/24,0,"61,250,112","03,18,26,29,40,43",13
111000061,111/06/28,"100,000,000","127,345,002","21,24,25,41,42,45",34
111000062,111/07/01,0,"49,307,090","14,20,29,32,34,43",02
111000063,111/07/05,0,"64,972,106","03,08,26,38,45,47",35
111000064,111/07/08,0,"86,712,179","05,09,15,35,40,44",10
111000065,111/07/12,0,"106,951,974","07,14,17,20,29,45",30
111000066,111/07/15,0,"122,037,620","14,15,27,41,43,49",39
111000067,111/07/19,0,"146,004,834","09,16,23,29,40,41",43
111000068,111/07/22,0,"168,197,168","11,12,24,30,33,38",31
111000069,111/07/26,0,"189,282,353","10,12,17,27,29,39",47
111000070,111/07/29,0,"210,353,143","12,18,19,21,33,37",15
111000071,111/08/02,0,"234,524,904","02,26,28,29,37,48",05
111000072,111/08/05,"222,733,763","260,340,999","05,18,21,30,43,46",26
111000073,111/08/09,"100,000,000","131,356,943","09,11,21,23,30,33",34
111000074,111/08/12,0,"49,172,648","04,07,15,21,37,43",05
111000075,111/08/16,0,"69,430,076","01,07,11,16,18,31",24
111000076,111/08/19,0,"86,627,718","03,04,10,21,28,41",15
111000077,111/08/23,0,"105,979,753","06,23,24,25,47,49",05
111000078,111/08/26,0,"120,791,842","04,16,17,30,38,42",05
111000079,111/08/30,0,"160,921,459","05,08,16,27,35,45",37
111000080,111/09/02,"148,942,092","193,386,008","20,23,25,36,43,45",38
111000081,111/09/06,"100,000,000","150,570,492","26,32,35,36,38,49",39
111000082,111/09/09,0,"91,090,104","07,15,17,28,36,39",01
111000083,111/09/13,"100,000,000","149,792,742","07,10,15,21,34,48",38
111000084,111/09/16,0,"75,161,408","02,06,07,27,31,44",28
111000085,111/09/20,0,"97,635,978","11,13,24,29,35,43",01
111000086,111/09/23,0,"121,456,362","02,12,30,31,44,48",46
111000087,111/09/27,0,"148,356,103","10,17,28,34,40,43",29
111000088,111/09/30,0,"176,272,632","05,12,18,28,34,39",24
111000089,111/10/04,0,"203,451,048","13,14,23,34,43,49",44
111000090,111/10/07,0,"243,234,296","05,10,15,16,26,30",12
111000091,111/10/11,0,"252,144,871","01,03,23,25,42,46",02
111000092,111/10/14,0,"276,948,134","01,11,13,25,32,36",30
111000093,111/10/18,0,"302,441,218","01,14,27,38,39,47",49
111000094,111/10/21,0,"336,244,750","11,20,36,37,42,49",03
111000095,111/10/25,0,"367,450,036","18,32,36,43,48,49",23
111000096,111/10/28,0,"406,867,997","17,18,19,23,25,32",26
111000097,111/11/01,0,"440,371,080","17,24,28,32,34,40",03
111000098,111/11/04,0,"494,931,070","11,21,23,30,36,47",06
111000099,111/11/08,"485,949,322","564,769,338","15,18,37,39,44,47",43
111000100,111/11/11,0,"56,326,116","02,10,19,20,36,48",37
111000101,111/11/15,0,"78,610,656","19,20,26,29,34,39",04
111000102,111/11/18,0,"102,308,220","10,17,27,37,44,45",22
111000103,111/11/22,0,"121,316,096","05,13,18,24,27,48",32
111000104,111/11/25,0,"143,405,145","14,15,20,26,35,41",36
111000105,111/11/29,"134,981,179","170,420,794","06,21,34,37,46,49",18
111000106,111/12/02,0,"56,762,878","08,22,28,40,41,45",34
111000107,111/12/06,"50,000,000","132,311,180","10,15,27,32,39,42",28
111000108,111/12/09,0,"52,171,448","10,16,22,40,45,48",31
111000109,111/12/13,0,"77,002,868","06,09,12,14,33,47",34
111000110,111/12/16,0,"95,518,877","06,11,12,40,47,49",28
111000111,111/12/20,0,"120,724,482","03,04,12,16,29,32",39
111000112,111/12/23,0,"136,110,589","09,13,32,34,35,39",01
111000113,111/12/27,"126,290,451","162,318,012","03,11,16,21,22,39",04
111000114,111/12/30,0,"57,093,394","05,08,14,17,20,46",07
