期別,開獎日,頭獎,獎金總額,獎號,特別號
111000001,111/01/04,0,"220,915,175","03,04,07,19,22,43",36
111000002,111/01/07,0,"242,152,133","06,09,15,31,38,39",25
111000003,111/01/11,0,"270,493,316","10,11,13,17,36,49",41
111000004,111/01/14,0,"292,057,967","05,13,14,24,26,35",39
111000005,111/01/18,0,"322,912,516","19,22,33,35,38,48",11
111000006,111/01/21,0,"348,562,859","15,26,27,34,37,42",47
111000007,111/01/25,0,"387,473,742","02,09,10,15,27,35",44
111000008,111/01/28,"391,861,738","474,059,452","07,12,36,41,42,44",29
111000009,111/01/29,0,"90,441,068","01,02,20,23,26,34",19
111000010,111/01/30,0,"138,128,081","03,08,15,20,22,23",36
111000011,111/01/31,0,"235,649,428","04,14,32,33,43,44",49
111000012,111/02/01,"215,474,760","319,513,779","08,25,34,44,45,47",24
111000013,111/02/02,0,"164,170,748","06,11,18,23,33,41",39
111000014,111/02/03,0,"211,307,869","05,09,18,22,34,36",11
111000015,111/02/04,"186,413,117","292,160,294","01,18,21,29,36,38",16
111000016,111/02/05,0,"142,112,180","02,04,13,36,41,49",16
111000017,111/02/06,0,"194,036,023","12,24,29,34,38,42",33
111000018,111/02/07,0,"235,682,107","03,18,23,32,40,45",38
111000019,111/02/08,0,"291,662,109","05,23,29,33,38,49",24
111000020,111/02/09,0,"314,266,144","02,07,11,18,35,45",25
111000021,111/02/10,0,"363,158,697","01,22,25,27,41,44",03
111000022,111/02/11,"349,295,127","423,236,952","23,24,30,42,44,46",48
111000023,111/02/15,0,"172,135,740","18,23,26,27,40,42",03
111000024,111/02/18,0,"133,418,398","16,20,36,39,47,48",35
111000025,111/02/22,0,"154,870,221","03,21,22,34,37,40",05
111000026,111/02/25,0,"183,465,926","17,18,21,26,38,49",20
111000027,111/03/01,"171,778,639","213,650,214","07,17,19,24,31,45",38
111000028,111/03/04,"100,000,000","135,342,537","01,03,18,29,30,31",26
111000029,111/03/08,0,"53,385,584","13,14,16,19,30,44",20
111000030,111/03/11,0,"77,266,094","03,04,08,15,21,24",29
111000031,111/03/15,0,"93,439,062","01,31,33,37,46,47",36
111000032,111/03/18,0,"118,750,291","02,15,21,26,42,44",45
111000033,111/03/22,0,"137,814,985","07,21,26,36,43,49",16
111000034,111/03/25,0,"162,466,287","14,17,22,45,47,49",26
111000035,111/03/29,"154,527,268","185,420,551","16,21,24,27,29,43",41
111000036,111/04/01,"100,000,000","136,244,586","03,10,11,20,34,38",04
111000037,111/04/05,0,"47,479,880","08,15,24,27,31,33",13
111000038,111/04/08,0,"68,705,977","10,15,19,29,31,44",23
111000039,111/04/12,0,"89,640,870","14,17,18,22,40,42",37
111000040,111/04/15,0,"111,341,504","02,09,11,14,15,30",22
111000041,111/04/19,0,"125,531,241","04,05,18,20,30,41",23
111000042,111/04/22,0,"148,289,011","03,28,32,36,47,49",16
111000043,111/04/26,0,"168,455,319","12,31,32,42,43,49",36
111000044,111/04/29,0,"192,729,985","12,14,18,25,44,48",45
