期別,開獎日,頭獎,獎金總額,獎號,特別號
103000001,103/01/03,"33,613,938","80,736,067","11,18,20,21,35,37",08
103000002,103/01/07,"63,082,990","106,318,850","01,07,21,25,35,36",39
