期別,開獎日,頭獎,獎金總額,獎號,特別號
104000001,104/01/02,0,"289,411,837","13,22,23,29,31,48",06
104000002,104/01/06,0,"339,303,949","11,16,29,30,37,43",13
104000003,104/01/09,"323,240,264","408,289,487","07,08,18,21,23,24",11
104000004,104/01/13,0,"65,066,210","02,14,16,22,37,46",49
104000005,104/01/16,0,"93,243,863","02,17,28,32,38,46",49
104000006,104/01/20,0,"120,113,208","09,24,28,35,45,47",48
104000007,104/01/23,0,"147,861,942","08,16,20,38,39,42",29
104000008,104/01/27,0,"174,336,796","04,09,15,21,27,45",06
104000009,104/01/30,0,"202,564,513","03,14,24,35,39,44",28
104000010,104/02/03,0,"219,348,780","05,13,15,16,18,30",08
104000011,104/02/06,"206,591,119","249,232,969","05,11,29,36,42,46",48
104000012,104/02/10,0,"65,338,002","14,15,26,29,35,44",09
104000013,104/02/13,0,"92,370,288","01,09,15,25,29,35",38
104000014,104/02/17,0,"146,421,772","03,11,15,23,40,46",13
104000015,104/02/18,0,"357,069,741","03,06,15,16,27,31",14
104000016,104/02/19,0,"476,305,046","07,25,27,31,40,49",11
104000017,104/02/20,"141,247,901","614,407,269","05,09,10,28,29,45",41
104000018,104/02/21,0,"169,624,482","02,05,11,17,27,40",20
104000019,104/02/22,"117,293,852","207,098,169","03,06,12,34,37,43",28
104000020,104/02/23,"100,000,000","179,929,259","14,20,21,32,38,43",23
104000021,104/02/24,0,"253,515,642","03,28,39,41,46,48",09
104000022,104/02/27,0,"254,581,758","02,06,27,34,38,43",45
104000023,104/03/03,0,"290,455,547","04,06,11,41,43,46",21
104000024,104/03/06,0,"323,857,380","06,21,22,35,37,44",29
104000025,104/03/10,0,"363,415,942","03,11,25,34,46,47",42
104000026,104/03/13,0,"408,675,213","06,09,14,16,22,33",11
104000027,104/03/17,0,"448,652,001","05,32,36,40,42,49",01
104000028,104/03/20,0,"491,835,236","04,07,09,13,29,46",08
104000029,104/03/24,"459,610,909","532,967,873","03,04,06,09,17,24",28
104000030,104/03/27,0,"58,289,495","12,13,15,18,24,36",39
104000031,104/03/31,0,"79,772,905","02,04,13,25,32,43",15
104000032,104/04/03,"100,000,000","132,272,683","13,32,36,40,42,43",41
104000033,104/04/07,0,"58,880,597","11,17,19,33,45,47",04
104000034,104/04/10,0,"85,084,057","10,11,17,20,42,44",13
104000035,104/04/14,0,"105,307,948","01,22,23,38,48,49",11
104000036,104/04/17,0,"129,254,165","26,32,33,36,45,47",39
104000037,104/04/21,0,"155,330,506","01,03,11,22,29,33",30
104000038,104/04/24,0,"186,325,268","13,25,31,35,41,46",49
104000039,104/04/28,0,"210,540,360","03,05,12,26,36,44",23
104000040,104/05/01,0,"228,307,201","08,15,25,29,47,49",09
104000041,104/05/05,0,"254,266,747","08,28,41,42,44,49",30
104000042,104/05/08,0,"288,270,118","02,10,15,28,44,49",39
104000043,104/05/12,0,"323,824,122","01,13,23,29,31,33",17
104000044,104/05/15,0,"359,771,173","03,06,18,27,29,32",40
104000045,104/05/19,0,"396,055,202","15,16,29,39,42,46",14
104000046,104/05/22,0,"423,379,208","03,21,23,28,37,43",05
104000047,104/05/26,0,"464,170,448","02,10,11,20,26,45",30
104000048,104/05/29,0,"511,919,345","02,05,11,28,32,34",24
104000049,104/06/02,"491,586,006","564,050,805","01,07,19,20,46,47",13
104000050,104/06/05,0,"60,354,847","08,21,32,35,41,48",34
104000051,104/06/09,0,"84,464,281","03,20,27,34,37,44",12
104000052,104/06/12,0,"96,418,240","08,19,22,24,26,28",18
104000053,104/06/16,"190,720,037","236,367,946","03,04,25,35,41,45",07
104000054,104/06/19,0,"135,397,743","03,05,11,18,25,38",15
104000055,104/06/23,0,"93,475,767","02,13,33,35,43,45",05
104000056,104/06/26,0,"118,092,158","05,06,12,28,29,41",07
104000057,104/06/30,0,"133,287,531","18,19,32,35,46,48",47
104000058,104/07/03,0,"158,646,433","21,23,28,29,41,46",24
104000059,104/07/07,0,"183,492,919","01,14,27,33,42,46",41
104000060,104/07/10,0,"189,853,284","05,06,13,26,29,47",33
104000061,104/07/14,0,"216,377,722","10,12,14,19,30,45",41
104000062,104/07/17,0,"242,510,187","04,07,20,27,33,40",38
104000063,104/07/21,0,"267,656,687","08,09,16,39,40,44",28
104000064,104/07/24,0,"293,349,560","10,12,25,33,39,42",29
104000065,104/07/28,0,"320,650,954","06,15,27,32,44,49",16
104000066,104/07/31,"312,162,640","357,878,206","13,16,18,30,32,40",29
104000067,104/08/04,0,"48,107,427","03,12,17,19,38,48",43
104000068,104/08/07,0,"69,485,139","25,26,27,28,36,37",38
104000069,104/08/11,"100,000,000","129,776,593","01,02,35,43,45,46",14
104000070,104/08/14,0,"50,120,770","05,13,14,23,24,42",35
104000071,104/08/18,0,"66,471,655","08,20,29,30,42,49",21
104000072,104/08/21,0,"89,020,862","10,15,20,21,27,36",45
104000073,104/08/25,0,"108,603,404","13,15,22,26,45,47",49
104000074,104/08/28,0,"129,633,487","08,11,12,15,40,46",16
104000075,104/09/01,0,"151,715,242","09,18,19,20,40,48",03
104000076,104/09/04,0,"173,998,800","19,20,44,46,47,49",09
104000077,104/09/08,0,"201,475,667","08,28,31,32,36,43",09
104000078,104/09/11,0,"227,734,095","05,10,18,29,41,44",30
104000079,104/09/15,0,"255,705,544","02,13,30,31,34,44",39
104000080,104/09/18,0,"284,107,050","06,16,17,36,37,41",28
104000081,104/09/22,0,"421,956,920","06,10,39,44,46,47",30
104000082,104/09/25,"138,115,453","508,311,909","09,13,21,25,38,39",02
104000083,104/09/29,"100,000,000","146,899,155","01,03,25,31,35,44",15
104000084,104/10/02,0,"53,069,195","11,15,36,41,44,45",35
104000085,104/10/06,"100,000,000","131,867,408","03,08,10,28,38,47",13
104000086,104/10/09,0,"45,951,125","02,08,22,27,35,43",24
104000087,104/10/13,0,"68,143,018","24,29,31,32,44,49",39
104000088,104/10/16,0,"93,090,480","20,25,29,31,40,44",21
104000089,104/10/20,0,"115,240,195","12,17,32,37,38,39",27
104000090,104/10/23,0,"128,634,659","01,16,41,43,46,47",25
104000091,104/10/27,0,"151,197,734","07,08,10,17,34,36",43
104000092,104/10/30,0,"173,835,652","03,06,08,15,20,30",40
104000093,104/11/03,0,"189,850,521","08,16,22,28,45,48",13
104000094,104/11/06,0,"217,106,024","08,24,27,30,45,49",42
104000095,104/11/10,0,"239,505,285","07,10,11,27,28,45",21
104000096,104/11/13,"225,781,061","264,421,744","01,11,16,18,31,33",19
104000097,104/11/17,0,"47,929,282","02,07,26,31,44,47",36
104000098,104/11/20,0,"65,965,362","04,09,10,39,40,42",08
104000099,104/11/24,"50,000,000","128,364,932","01,09,13,28,29,48",45
104000100,104/11/27,0,"47,307,836","04,05,23,25,40,41",11
104000101,104/12/01,0,"66,394,721","06,13,15,19,37,41",22
104000102,104/12/04,0,"88,238,083","16,21,34,37,41,47",29
104000103,104/12/08,"100,000,000","137,126,991","08,15,32,36,40,43",03
104000104,104/12/11,0,"48,732,007","01,04,25,29,42,43",11
104000105,104/12/15,0,"66,190,465","04,11,18,22,23,31",19
104000106,104/12/18,0,"83,806,164","05,06,11,15,18,25",31
104000107,104/12/22,"100,000,000","129,681,215","08,12,13,29,37,49",43
104000108,104/12/25,0,"49,636,557","03,07,11,12,16,30",13
