期別,開獎日,頭獎,獎金總額,獎號,特別號
112000001,112/01/03,0,"71,749,322","02,04,08,19,24,39",28
112000002,112/01/06,0,"91,799,689","19,22,29,36,43,46",30
112000003,112/01/10,0,"123,350,345","15,21,22,30,41,42",24
112000004,112/01/13,0,"154,571,437","05,21,23,24,40,44",17
112000005,112/01/17,0,"181,841,289","05,17,23,24,36,42",16
112000006,112/01/20,"200,072,070","291,219,749","16,25,27,31,34,42",06
112000007,112/01/21,0,"153,491,044","01,05,16,21,23,25",30
112000008,112/01/22,"112,424,722","230,903,540","06,08,10,22,27,29",23
112000009,112/01/23,"33,333,333","205,894,502","07,10,18,23,34,35",09
112000010,112/01/24,0,"153,902,448","02,04,18,20,30,32",10
112000011,112/01/25,0,"210,461,007","02,03,08,23,24,27",14
112000012,112/01/26,0,"256,924,630","10,12,13,21,40,42",49
112000013,112/01/27,0,"319,084,325","04,13,28,33,38,39",42
112000014,112/01/28,0,"360,143,060","01,19,23,30,35,48",45
112000015,112/01/29,"331,398,235","425,715,145","02,08,09,15,27,31",42
112000016,112/01/30,0,"112,273,368","07,18,23,39,41,43",25
112000017,112/01/31,0,"148,508,973","01,26,33,36,40,42",37
112000018,112/02/01,"122,524,346","178,783,641","05,08,19,23,33,46",48
112000019,112/02/02,0,"89,955,020","08,13,19,21,31,45",37
112000020,112/02/03,0,"128,609,264","03,14,25,29,44,45",46
112000021,112/02/04,0,"142,370,913","02,14,20,21,22,49",38
112000022,112/02/05,0,"170,517,808","05,19,25,33,38,42",41
112000023,112/02/07,0,"187,290,632","03,08,11,18,28,47",05
112000024,112/02/10,0,"214,967,687","07,11,24,28,33,46",03
112000025,112/02/14,0,"244,373,838","11,22,23,30,31,49",14
112000026,112/02/17,0,"275,367,373","07,09,14,16,26,33",27
112000027,112/02/21,0,"310,472,297","01,05,06,11,26,46",41
112000028,112/02/24,0,"346,027,138","15,38,39,40,45,48",02
112000029,112/02/28,0,"386,840,859","02,11,25,26,27,35",10
112000030,112/03/03,"368,564,088","430,381,043","13,16,18,22,34,42",14
112000031,112/03/07,0,"67,089,177","13,17,23,25,32,41",16
112000032,112/03/10,0,"89,031,163","15,19,29,32,39,40",35
112000033,112/03/14,"100,000,000","140,256,683","03,04,11,12,20,37",05
112000034,112/03/17,"100,000,000","134,804,784","06,07,10,24,29,40",16
112000035,112/03/21,0,"56,244,170","03,11,20,30,41,45",28
112000036,112/03/24,0,"74,139,190","02,14,26,34,40,46",13
112000037,112/03/28,0,"96,480,482","03,10,26,35,37,44",15
112000038,112/03/31,0,"116,551,970","10,22,26,29,45,47",41
112000039,112/04/04,0,"141,865,041","10,19,21,33,35,47",09
112000040,112/04/07,0,"167,865,577","04,11,20,25,32,39",30
112000041,112/04/11,0,"187,112,005","09,12,30,31,33,37",25
112000042,112/04/14,0,"208,998,619","10,22,23,35,46,49",02
112000043,112/04/18,0,"235,425,163","06,08,10,28,41,43",45
112000044,112/04/21,0,"258,493,603","07,11,23,25,27,43",05
112000045,112/04/25,0,"282,377,268","05,12,13,27,28,41",37
112000046,112/04/28,0,"309,151,945","05,31,38,41,43,47",28
112000047,112/05/02,0,"344,372,653","08,09,14,37,42,46",10
112000048,112/05/05,0,"385,193,154","10,13,16,19,21,48",30
112000049,112/05/09,0,"430,991,406","01,21,22,29,31,44",03
112000050,112/05/12,"408,573,433","475,178,962","02,07,09,18,20,48",14
112000051,112/05/16,0,"54,029,584","01,19,26,34,38,43",48
112000052,112/05/19,0,"73,730,810","05,08,09,35,38,44",31
112000053,112/05/23,0,"95,189,319","05,20,23,38,44,46",33
112000054,112/05/26,0,"119,293,751","05,10,12,15,30,36",26
112000055,112/05/30,0,"135,159,492","05,06,09,29,43,45",27
112000056,112/06/02,0,"151,964,290","01,05,13,16,23,34",49
