期別,開獎日,頭獎,獎金總額,獎號,特別號
103000094,103/11/11,0,"198,937,560","05,11,18,23,36,43",14
103000095,103/11/14,0,"223,009,627","15,16,29,34,41,44",49
103000096,103/11/18,0,"256,386,049","11,12,20,26,28,43",06
103000097,103/11/21,0,"285,472,166","02,03,22,26,32,34",40
103000098,103/11/25,"138,362,345","320,892,077","01,15,16,32,44,48",40
103000099,103/11/28,0,"57,337,280","01,10,21,35,40,44",36
103000100,103/12/02,"100,000,000","132,565,183","09,11,13,23,26,42",47
103000101,103/12/05,0,"54,490,260","11,18,30,34,37,47",17
103000102,103/12/09,0,"78,620,189","07,09,23,33,41,43",24
103000103,103/12/12,0,"104,199,451","07,08,24,29,32,48",37
103000104,103/12/16,0,"123,243,902","17,28,32,34,35,45",08
103000105,103/12/19,0,"148,583,315","01,09,24,32,41,49",40
103000106,103/12/23,0,"175,853,938","03,27,30,31,32,39",35
103000107,103/12/26,0,"206,763,342","09,27,32,42,45,49",30
103000108,103/12/30,0,"244,845,838","07,30,32,44,48,49",45
