期別,開獎日,頭獎,獎金總額,獎號,特別號
105000001,105/01/01,0,"86,412,039","16,19,24,29,41,43",32
105000002,105/01/05,"100,000,000","131,818,567","01,03,07,15,25,33",21
105000003,105/01/08,0,"51,924,170","03,10,13,28,44,48",01
105000004,105/01/12,0,"70,018,679","05,15,18,39,40,44",37
105000005,105/01/15,0,"89,637,376","06,11,16,17,27,42",35
105000006,105/01/19,0,"109,656,257","04,09,14,23,44,46",41
105000007,105/01/22,0,"126,549,652","10,15,17,20,43,46",37
105000008,105/01/26,0,"148,558,248","11,13,17,35,39,46",02
105000009,105/01/29,0,"171,812,844","16,35,38,44,45,48",27
105000010,105/02/02,0,"202,610,528","15,21,23,26,43,48",34
105000011,105/02/05,0,"233,041,151","04,05,26,30,38,41",28
105000012,105/02/07,"252,910,675","346,119,645","04,11,21,25,35,37",43
105000013,105/02/08,0,"160,396,912","08,12,13,16,27,32",24
105000014,105/02/09,"122,101,338","225,999,514","09,24,25,31,37,45",12
105000015,105/02/10,0,"142,963,865","18,19,22,32,44,47",09
105000016,105/02/11,"110,178,481","197,112,428","03,13,29,30,34,48",28
105000017,105/02/12,0,"147,470,317","06,10,11,22,32,45",04
105000018,105/02/13,0,"185,532,564","04,06,18,29,35,48",20
105000019,105/02/14,"155,977,112","234,513,809","01,03,16,20,21,26",22
105000020,105/02/16,"132,025,917","181,434,320","11,23,29,33,34,40",06
105000021,105/02/19,0,"61,073,457","11,20,23,30,39,44",49
105000022,105/02/23,0,"84,904,081","10,14,19,20,43,45",22
105000023,105/02/26,0,"101,725,999","03,09,17,21,41,46",27
105000024,105/03/01,0,"120,525,069","07,14,17,22,23,34",12
105000025,105/03/04,0,"143,984,464","05,07,12,17,22,29",04
105000026,105/03/08,0,"160,294,086","03,27,30,35,39,41",32
105000027,105/03/11,0,"180,798,717","09,16,30,34,36,49",31
105000028,105/03/15,0,"201,728,968","06,14,30,42,47,48",18
105000029,105/03/18,0,"229,352,083","01,03,04,18,25,47",13
