期別,開獎日,頭獎,獎金總額,獎號,特別號
109000031,109/03/20,0,"323,361,132","01,08,13,43,46,48",29
109000032,109/03/24,0,"360,029,694","10,12,16,29,41,45",01
109000033,109/03/27,0,"382,952,984","02,08,10,16,23,49",41
109000034,109/03/31,0,"418,426,949","06,21,26,34,36,49",23
109000035,109/04/03,0,"451,596,439","02,17,32,43,45,47",34
109000036,109/04/07,0,"499,457,170","04,07,12,18,27,44",23
109000037,109/04/10,0,"533,444,494","13,33,41,47,48,49",01
109000038,109/04/14,0,"589,506,019","17,19,21,26,33,45",12
109000039,109/04/17,0,"642,414,103","01,21,31,33,42,44",22
109000040,109/04/21,0,"701,832,806","01,02,29,33,45,47",39
109000041,109/04/24,0,"774,581,532","07,10,14,15,17,39",45
109000042,109/04/28,0,"859,329,281","16,29,36,39,43,48",42
109000043,109/05/01,0,"953,421,856","05,18,25,34,48,49",45
109000044,109/05/05,"936,721,938","1,070,088,576","17,19,24,36,43,49",26
109000045,109/05/08,0,"51,469,656","08,09,10,24,27,31",33
109000046,109/05/12,0,"68,226,320","01,05,08,11,35,36",26
109000047,109/05/15,0,"84,013,991","06,11,31,40,42,45",43
109000048,109/05/19,0,"105,485,328","27,32,33,40,43,44",37
109000049,109/05/22,0,"125,429,670","03,07,10,13,39,46",29
109000050,109/05/26,0,"146,210,284","01,05,25,29,33,38",19
109000051,109/05/29,0,"165,307,171","31,35,39,40,45,49",41
109000052,109/06/02,"158,264,644","192,285,504","01,06,22,25,33,48",19
109000053,109/06/05,0,"50,868,967","03,05,08,24,26,49",19
109000054,109/06/09,0,"89,203,029","08,17,28,35,36,47",41
109000055,109/06/12,0,"126,588,819","01,06,28,30,33,48",27
109000056,109/06/16,"106,096,409","160,593,624","06,13,20,23,29,46",42
109000057,109/06/19,0,"74,734,184","01,15,16,25,43,46",06
109000058,109/06/23,0,"109,169,790","01,02,16,22,27,45",13
109000059,109/06/26,0,"141,275,751","10,12,16,37,40,41",05
109000060,109/06/30,0,"169,667,082","26,29,31,43,46,49",06
109000061,109/07/03,"155,242,715","202,988,683","13,19,20,24,40,45",33
109000062,109/07/07,0,"76,598,400","04,17,22,34,44,46",13
109000063,109/07/10,0,"109,634,399","04,05,22,27,46,49",41
109000064,109/07/14,0,"118,936,718","04,10,24,29,32,49",43
109000065,109/07/17,0,"144,200,865","05,06,15,25,30,41",29
109000066,109/07/21,"133,174,768","172,863,898","03,16,25,31,33,36",14
109000067,109/07/24,0,"62,557,140","02,20,21,24,35,37",09
109000068,109/07/28,0,"83,837,869","08,10,22,23,29,35",02
109000069,109/07/31,0,"100,777,981","16,17,18,19,33,45",25
109000070,109/08/04,0,"118,490,825","01,05,11,19,31,33",06
109000071,109/08/07,0,"138,022,437","06,09,19,40,44,45",01
109000072,109/08/11,"128,068,129","160,436,250","08,12,40,42,44,47",05
109000073,109/08/14,0,"52,551,464","16,20,24,25,31,33",37
109000074,109/08/18,0,"75,850,921","04,22,30,43,45,47",15
109000075,109/08/21,0,"96,235,298","05,14,40,44,45,46",32
109000076,109/08/25,0,"118,861,589","02,23,28,35,46,48",33
109000077,109/08/28,0,"140,232,941","13,14,19,22,23,36",24
109000078,109/09/01,"126,959,210","161,612,636","01,02,06,08,38,43",24
109000079,109/09/04,0,"50,434,524","02,09,11,13,39,43",35
109000080,109/09/08,0,"72,006,841","01,02,09,20,26,48",36
109000081,109/09/11,0,"91,731,766","01,26,29,39,48,49",09
109000082,109/09/15,"100,000,000","142,950,291","07,16,29,32,37,48",21
109000083,109/09/18,0,"76,126,176","03,29,30,32,43,44",35
109000084,109/09/22,0,"114,153,360","03,04,05,08,24,29",07
109000085,109/09/25,"100,000,000","145,972,769","10,31,35,36,39,48",27
109000086,109/09/29,0,"80,803,016","01,07,08,33,42,47",31
109000087,109/10/02,0,"114,256,077","11,15,16,18,24,26",46
109000088,109/10/06,0,"139,845,929","04,05,22,23,34,40",37
109000089,109/10/09,0,"164,734,030","02,07,19,25,42,47",06
109000090,109/10/13,"74,238,386","193,359,740","01,03,15,27,39,41",20
109000091,109/10/16,0,"78,527,428","07,25,28,33,44,47",19
109000092,109/10/20,0,"85,009,726","05,17,18,28,30,39",13
109000093,109/10/23,0,"102,944,897","03,09,20,25,26,35",39
109000094,109/10/27,0,"124,856,285","02,09,19,28,30,32",35
109000095,109/10/30,0,"147,572,604","06,10,13,19,40,45",07
109000096,109/11/03,0,"170,789,803","06,11,15,30,32,44",29
109000097,109/11/06,0,"189,730,554","05,09,25,39,44,46",02
109000098,109/11/10,0,"214,273,474","05,17,19,21,28,29",43
109000099,109/11/13,0,"237,920,717","07,09,12,15,25,29",47
109000100,109/11/17,0,"260,102,180","06,14,18,20,38,41",29
109000101,109/11/20,0,"288,197,980","16,27,29,35,37,48",31
109000102,109/11/24,0,"318,009,096","05,29,36,38,44,45",23
109000103,109/11/27,0,"343,555,754","01,19,26,30,35,48",11
109000104,109/12/01,0,"373,017,634","04,22,29,37,44,49",30
109000105,109/12/04,0,"407,657,804","02,13,27,30,41,44",40
109000106,109/12/08,0,"446,570,730","02,04,10,15,31,45",17
109000107,109/12/11,"431,243,920","488,155,897","08,17,36,37,42,43",34
109000108,109/12/15,0,"55,707,588","02,06,17,21,43,48",41
109000109,109/12/18,0,"81,545,792","02,11,24,26,30,41",01
109000110,109/12/22,0,"98,501,736","20,22,25,30,31,45",02
109000111,109/12/25,0,"121,233,362","01,05,06,19,29,30",39
109000112,109/12/29,0,"140,907,848","10,14,33,34,35,39",40
