期別,開獎日,頭獎,獎金總額,獎號,特別號
109000001,109/01/03,0,"217,079,550","16,18,19,29,30,47",10
109000002,109/01/07,0,"248,835,825","01,05,08,15,16,38",07
109000003,109/01/10,0,"266,131,509","04,07,12,17,33,38",11
109000004,109/01/14,"247,539,944","290,316,408","07,20,34,37,38,47",18
109000005,109/01/17,0,"56,865,088","07,09,20,42,44,45",08
109000006,109/01/21,0,"87,126,132","17,22,30,38,44,48",36
109000007,109/01/23,0,"166,038,100","13,18,23,30,44,48",37
109000008,109/01/24,0,"283,021,745","07,13,18,21,38,44",03
109000009,109/01/25,"243,853,927","356,160,843","05,13,16,31,41,45",09
109000010,109/01/26,0,"152,352,256","03,28,29,35,41,47",48
109000011,109/01/27,"122,573,349","222,330,306","09,12,23,33,39,45",24
109000012,109/01/28,0,"144,755,968","02,03,13,20,28,38",40
109000013,109/01/29,0,"186,410,089","01,04,09,14,15,49",32
109000014,109/01/30,0,"213,158,234","06,24,35,41,46,49",09
109000015,109/01/31,0,"266,408,319","14,16,19,28,32,49",01
109000016,109/02/01,0,"290,933,881","02,10,12,20,26,34",28
109000017,109/02/02,0,"321,739,250","03,16,17,30,33,37",29
109000018,109/02/04,0,"373,603,908","03,23,27,28,37,48",08
109000019,109/02/07,"373,349,607","479,436,856","05,15,19,22,30,42",31
109000020,109/02/11,0,"59,550,960","09,22,23,37,43,46",38
109000021,109/02/14,0,"80,227,259","07,13,23,33,35,36",09
109000022,109/02/18,0,"99,648,079","04,13,31,35,37,42",49
109000023,109/02/21,0,"122,931,370","13,15,27,34,35,39",31
109000024,109/02/25,0,"147,906,693","01,02,08,44,47,48",09
109000025,109/02/28,0,"169,048,689","02,09,18,27,46,48",25
109000026,109/03/03,0,"193,246,561","08,10,11,17,28,42",40
109000027,109/03/06,0,"215,749,979","08,12,13,15,16,30",45
109000028,109/03/10,0,"235,920,530","01,04,12,25,34,37",42
109000029,109/03/13,0,"261,863,750","14,22,32,33,34,49",31
109000030,109/03/17,0,"293,730,633","10,17,28,29,43,47",04
