期別,開獎日,頭獎,獎金總額,獎號,特別號
107000001,107/01/02,"392,347,658","450,504,302","02,06,12,18,36,46",47
107000002,107/01/05,0,"52,968,524","04,13,17,29,31,44",14
107000003,107/01/09,0,"69,448,004","02,10,22,23,24,37",42
107000004,107/01/12,0,"91,733,657","01,07,14,22,40,45",29
107000005,107/01/16,"100,000,000","137,753,420","08,26,29,32,36,39",23
107000006,107/01/19,0,"52,818,080","02,13,16,22,26,48",39
107000007,107/01/23,0,"77,330,545","02,12,26,28,33,34",44
107000008,107/01/26,0,"97,579,638","07,23,32,34,43,47",24
107000009,107/01/30,0,"117,644,325","07,08,15,23,31,36",30
107000010,107/02/02,"102,101,484","137,341,717","01,02,10,11,26,43",40
107000011,107/02/06,0,"53,016,124","06,10,24,27,41,43",49
107000012,107/02/09,0,"77,747,197","12,17,20,21,30,45",09
107000013,107/02/13,0,"106,761,598","04,10,19,26,35,45",38
107000014,107/02/15,"160,238,891","293,901,903","07,21,22,37,41,48",15
107000015,107/02/16,"100,000,000","248,870,254","04,07,23,24,27,41",17
107000016,107/02/17,0,"212,216,536","03,05,17,32,33,47",36
107000017,107/02/18,0,"298,509,415","07,08,20,28,34,46",10
107000018,107/02/19,"242,242,207","384,157,333","07,09,19,22,36,49",29
107000019,107/02/20,"100,000,000","205,715,287","12,33,34,38,40,46",07
107000020,107/02/23,"100,000,000","153,491,154","03,07,15,16,18,41",42
107000021,107/02/27,0,"76,892,620","01,03,18,23,28,44",10
107000022,107/03/02,0,"91,084,172","01,12,17,25,31,48",21
107000023,107/03/06,"100,000,000","139,659,351","09,11,13,17,38,42",29
107000024,107/03/09,0,"54,045,236","12,15,18,27,30,38",19
107000025,107/03/13,0,"77,458,109","14,20,22,27,28,38",19
107000026,107/03/16,0,"98,760,741","03,14,16,17,43,46",04
107000027,107/03/20,0,"121,140,733","08,09,23,30,37,41",31
107000028,107/03/23,0,"135,858,583","04,09,13,32,34,41",42
107000029,107/03/27,0,"159,594,412","13,15,24,30,38,40",44
107000030,107/03/30,0,"185,272,797","01,05,13,43,44,47",25
107000031,107/04/03,0,"209,883,280","01,07,22,32,34,36",08
107000032,107/04/06,0,"226,465,199","07,25,31,34,47,49",26
107000033,107/04/10,0,"259,771,739","07,27,32,34,41,47",09
107000034,107/04/13,0,"288,037,268","01,12,25,28,40,46",39
107000035,107/04/17,0,"313,756,316","07,16,31,38,40,41",39
107000036,107/04/20,0,"350,489,427","10,14,32,33,35,46",43
107000037,107/04/24,0,"379,342,598","09,10,19,21,35,36",49
107000038,107/04/27,0,"417,725,116","04,25,26,27,30,48",11
107000039,107/05/01,0,"449,077,856","08,29,33,34,46,49",19
107000040,107/05/04,0,"478,885,493","10,22,30,33,36,47",43
107000041,107/05/08,0,"523,186,639","03,08,21,22,37,41",46
107000042,107/05/11,0,"571,077,895","04,11,25,35,37,48",36
107000043,107/05/15,0,"626,773,183","02,12,13,16,32,43",24
107000044,107/05/18,0,"680,111,125","01,11,36,38,41,42",48
107000045,107/05/22,0,"750,082,098","02,13,24,29,41,49",45
