期別,開獎日,頭獎,獎金總額,獎號,特別號
108000001,108/01/01,0,"112,561,368","18,23,24,25,39,42",48
108000002,108/01/04,0,"135,747,495","06,07,08,20,47,48",30
108000003,108/01/08,0,"158,928,531","04,19,21,28,39,43",18
108000004,108/01/11,0,"187,871,333","13,20,22,31,34,42",09
108000005,108/01/15,0,"209,734,051","12,20,30,38,40,41",10
108000006,108/01/18,0,"231,542,213","04,05,10,30,39,45",14
108000007,108/01/22,0,"260,406,648","02,20,36,37,42,46",29
108000008,108/01/25,0,"290,963,711","03,10,14,15,20,45",02
108000009,108/01/29,0,"320,837,008","14,20,24,30,44,48",31
108000010,108/02/01,0,"425,642,974","10,17,20,21,32,41",34
108000011,108/02/02,"387,277,514","457,609,508","02,07,22,35,46,49",41
108000012,108/02/03,0,"130,434,108","12,24,28,36,37,40",06
108000013,108/02/04,0,"241,689,588","06,08,24,32,34,36",49
108000014,108/02/05,"217,864,146","342,221,358","13,18,30,34,45,49",33
108000015,108/02/06,0,"190,654,429","17,23,28,29,32,39",12
108000016,108/02/07,0,"239,994,586","07,21,29,33,40,41",08
108000017,108/02/08,"204,965,634","316,705,329","08,13,14,32,36,42",05
108000018,108/02/09,"100,000,000","199,075,501","06,08,18,19,20,30",22
108000019,108/02/10,0,"155,850,975","05,08,14,19,22,47",24
108000020,108/02/12,0,"166,110,788","11,16,19,29,30,45",01
108000021,108/02/15,0,"240,092,992","01,03,40,44,46,48",02
108000022,108/02/19,0,"236,685,323","01,03,04,24,32,43",37
108000023,108/02/22,0,"263,212,097","06,20,22,43,45,48",11
108000024,108/02/26,"249,454,932","292,100,079","06,17,22,34,38,42",20
108000025,108/03/01,0,"53,250,288","01,08,14,27,40,45",34
108000026,108/03/05,"100,000,000","131,455,340","12,13,16,21,42,43",39
108000027,108/03/08,0,"51,810,878","03,11,15,25,31,48",36
108000028,108/03/12,0,"76,212,925","05,07,22,37,40,45",12
108000029,108/03/15,"100,000,000","137,742,648","05,10,12,20,28,36",15
108000030,108/03/19,0,"53,069,164","07,16,17,36,47,48",49
108000031,108/03/22,0,"76,774,120","01,12,16,37,41,47",36
108000032,108/03/26,"100,000,000","137,774,702","06,13,14,19,24,38",26
108000033,108/03/29,"100,000,000","132,344,795","01,03,12,16,29,49",04
108000034,108/04/02,0,"49,367,024","05,28,38,40,41,47",25
108000035,108/04/05,0,"68,261,663","11,28,29,38,43,49",22
108000036,108/04/09,0,"94,314,651","10,36,37,44,45,46",48
108000037,108/04/12,0,"113,971,423","12,26,32,34,45,46",14
108000038,108/04/16,0,"134,639,199","01,14,23,36,39,41",04
108000039,108/04/19,0,"152,924,156","04,11,24,29,32,45",49
108000040,108/04/23,0,"175,135,532","08,14,16,18,30,35",36
108000041,108/04/26,0,"196,074,336","08,24,29,37,44,48",06
108000042,108/04/30,0,"222,593,495","01,04,19,24,47,49",36
108000043,108/05/03,0,"247,818,373","06,07,19,31,32,40",15
108000044,108/05/07,0,"274,724,712","02,14,23,29,35,43",22
108000045,108/05/10,0,"293,599,715","11,17,27,31,33,37",12
108000046,108/05/14,0,"317,514,312","09,15,27,28,40,43",45
108000047,108/05/17,0,"343,759,161","02,07,12,21,23,45",10
108000048,108/05/21,0,"367,399,687","07,10,18,32,41,46",42
108000049,108/05/24,"357,526,957","398,178,422","12,13,19,21,29,39",41
108000050,108/05/28,0,"79,842,971","03,11,22,36,38,40",07
108000051,108/05/31,0,"110,995,643","08,15,21,31,36,46",18
108000052,108/06/04,0,"142,020,714","05,06,19,23,43,48",07
108000053,108/06/07,0,"179,097,065","18,22,26,27,30,38",45
