期別,開獎日,頭獎,獎金總額,獎號,特別號
106000001,106/01/03,0,"222,109,792","18,22,41,42,47,49",45
106000002,106/01/06,"214,873,536","251,941,902","12,14,32,35,40,43",17
106000003,106/01/10,0,"54,944,266","04,13,14,37,39,46",31
106000004,106/01/13,0,"73,016,985","14,19,21,25,27,38",22
106000005,106/01/17,0,"95,686,599","04,12,17,28,34,40",07
106000006,106/01/20,0,"115,511,986","01,05,16,18,31,41",13
106000007,106/01/24,0,"141,660,553","01,09,17,31,33,48",49
106000008,106/01/27,"217,869,179","388,359,518","01,05,07,31,35,49",42
106000009,106/01/28,"100,000,000","245,844,277","01,19,20,25,30,32",02
106000010,106/01/29,"33,333,333","249,740,611","03,08,09,12,14,22",46
106000011,106/01/30,0,"189,708,392","10,19,26,29,43,45",20
106000012,106/01/31,0,"280,820,408","04,11,16,28,33,46",17
106000013,106/02/01,"233,460,969","347,281,800","04,09,11,32,43,47",44
106000014,106/02/03,"50,000,000","191,525,503","02,11,25,29,30,33",20
106000015,106/02/07,"100,000,000","167,841,744","06,18,19,23,32,49",21
106000016,106/02/10,"100,000,000","141,811,839","07,11,12,15,24,26",06
106000017,106/02/14,0,"59,590,740","10,11,21,23,28,37",24
106000018,106/02/17,0,"79,143,568","06,16,21,23,46,49",39
106000019,106/02/21,0,"104,191,547","08,10,15,32,39,48",43
106000020,106/02/24,0,"125,852,157","12,16,35,38,41,47",01
106000021,106/02/28,0,"155,206,639","06,14,15,19,30,43",31
106000022,106/03/03,0,"184,028,703","02,16,20,37,43,48",10
106000023,106/03/07,0,"199,547,495","06,12,22,31,41,44",02
106000024,106/03/10,0,"224,023,058","11,12,21,35,41,48",01
106000025,106/03/14,"214,282,376","254,876,671","15,17,20,32,33,39",21
106000026,106/03/17,0,"58,288,056","04,17,25,36,40,44",08
106000027,106/03/21,0,"74,154,611","08,16,27,32,43,44",07
106000028,106/03/24,0,"98,716,454","24,36,39,41,45,49",22
106000029,106/03/28,0,"123,099,813","21,22,32,37,42,44",38
106000030,106/03/31,0,"145,409,609","17,18,22,24,25,38",39
106000031,106/04/04,0,"169,106,850","05,17,33,34,43,44",04
106000032,106/04/07,"153,655,360","197,542,382","19,23,31,32,37,49",26
