期別,開獎日,頭獎,獎金總額,獎號,特別號
106000033,106/04/11,0,"51,587,772","09,22,31,36,40,47",08
106000034,106/04/14,0,"74,187,139","02,03,04,23,29,42",14
106000035,106/04/18,0,"89,293,473","14,21,25,35,36,39",18
106000036,106/04/21,0,"109,443,311","05,15,22,23,28,39",25
106000037,106/04/25,0,"130,427,541","16,17,30,32,35,41",26
106000038,106/04/28,0,"152,714,417","01,03,19,31,32,42",43
106000039,106/05/02,0,"169,878,172","14,23,24,27,36,39",13
106000040,106/05/05,0,"192,785,941","01,09,18,19,34,49",11
106000041,106/05/09,0,"212,248,153","16,17,20,21,32,40",15
106000042,106/05/12,0,"235,408,781","02,09,18,22,25,35",14
106000043,106/05/16,0,"251,123,363","05,06,07,14,29,46",24
106000044,106/05/19,0,"275,605,017","15,16,21,23,28,46",14
106000045,106/05/23,0,"320,259,433","02,10,15,22,26,32",42
106000046,106/05/26,0,"365,131,338","08,14,16,19,21,35",20
106000047,106/05/30,"347,897,340","405,333,005","07,14,19,30,31,39",40
106000048,106/06/02,0,"56,967,652","03,07,08,23,30,31",32
106000049,106/06/06,0,"77,650,754","14,16,25,32,36,48",12
106000050,106/06/09,0,"101,071,596","24,26,31,32,37,46",01
106000051,106/06/13,0,"124,543,510","02,04,17,22,36,43",40
106000052,106/06/16,0,"152,164,076","01,15,21,26,36,45",10
106000053,106/06/20,0,"169,982,068","01,12,29,30,33,44",19
106000054,106/06/23,0,"190,989,728","02,08,12,34,41,42",07
106000055,106/06/27,"174,599,083","212,175,549","11,33,34,46,47,49",38
106000056,106/06/30,0,"53,328,827","08,12,22,30,32,36",06
106000057,106/07/04,0,"57,378,984","04,21,27,28,30,35",42
106000058,106/07/07,0,"76,296,871","18,30,40,42,44,49",08
106000059,106/07/11,"100,000,000","135,646,274","06,16,19,23,33,39",07
106000060,106/07/14,0,"47,190,864","16,18,19,25,26,32",22
106000061,106/07/18,0,"65,416,507","13,14,21,29,42,48",11
106000062,106/07/21,"50,000,000","127,075,911","02,12,24,32,42,47",29
106000063,106/07/25,0,"47,009,631","02,11,23,30,33,42",07
106000064,106/07/28,0,"64,833,838","11,13,18,22,38,39",03
106000065,106/08/01,0,"82,751,089","02,12,21,30,42,47",31
106000066,106/08/04,0,"98,485,988","15,16,26,27,39,45",37
106000067,106/08/08,0,"118,962,853","06,09,23,27,34,46",20
106000068,106/08/11,0,"140,054,374","02,08,09,18,27,37",33
106000069,106/08/15,0,"154,242,979","13,16,27,28,33,42",11
106000070,106/08/18,0,"176,991,714","07,10,12,35,38,47",23
106000071,106/08/22,0,"197,082,440","04,10,13,36,44,45",05
106000072,106/08/25,0,"226,007,909","01,04,19,24,28,31",49
106000073,106/08/29,0,"248,156,183","05,18,25,31,48,49",44
106000074,106/09/01,0,"282,671,812","05,11,14,16,36,40",46
106000075,106/09/05,"267,468,055","312,009,229","13,17,23,27,33,41",02
106000076,106/09/08,0,"50,205,392","08,13,15,19,29,42",25
106000077,106/09/12,0,"66,186,359","07,23,29,36,45,49",14
106000078,106/09/15,"100,000,000","134,174,867","03,08,11,16,33,37",35
106000079,106/09/19,0,"47,164,880","02,12,15,18,37,40",39
106000080,106/09/22,0,"67,323,609","18,35,39,43,47,49",44
106000081,106/09/26,0,"88,429,028","10,11,14,19,22,38",42
106000082,106/09/29,0,"106,235,757","03,14,16,21,33,36",20
106000083,106/10/03,0,"164,929,611","15,18,25,30,33,44",38
106000084,106/10/06,0,"205,754,238","04,28,32,37,41,45",47
106000085,106/10/10,0,"227,655,366","06,28,29,30,31,39",33
106000086,106/10/13,0,"252,146,266","05,08,23,34,44,46",16
106000087,106/10/17,0,"290,823,280","01,03,06,11,19,27",05
106000088,106/10/20,0,"294,604,293","03,08,18,19,26,42",17
106000089,106/10/24,0,"320,316,196","02,03,05,14,16,29",32
106000090,106/10/27,0,"348,984,633","02,11,17,22,38,40",41
106000091,106/10/31,0,"380,986,206","04,25,31,36,39,46",02
106000092,106/11/03,0,"414,956,070","08,20,23,33,36,43",02
106000093,106/11/07,"392,766,964","441,424,380","05,06,12,22,30,48",41
106000094,106/11/10,0,"50,142,148","10,15,24,26,29,35",12
106000095,106/11/14,0,"66,399,753","05,15,24,25,44,47",45
106000096,106/11/17,0,"87,539,590","02,14,19,28,39,46",45
106000097,106/11/21,0,"107,919,371","04,23,25,28,39,43",41
106000098,106/11/24,0,"129,292,362","04,08,10,14,41,45",38
106000099,106/11/28,0,"150,756,417","09,14,17,19,46,47",29
106000100,106/12/01,0,"175,244,673","02,03,05,28,42,48",09
106000101,106/12/05,0,"200,464,555","01,12,13,37,41,43",49
106000102,106/12/08,0,"224,064,503","01,05,08,10,34,35",46
106000103,106/12/12,0,"250,876,582","16,19,28,37,38,41",10
106000104,106/12/15,0,"280,536,002","17,19,24,27,31,37",08
106000105,106/12/19,0,"306,502,499","03,14,18,31,41,42",02
106000106,106/12/22,0,"340,490,069","12,18,20,21,31,37",24
106000107,106/12/26,0,"375,749,694","07,08,10,20,24,27",19
106000108,106/12/29,0,"410,342,978","11,12,15,20,27,47",36
